country,lat,long
ghana,8.0300284,-1.0800271
gibraltar,36.1285933,-5.3474761
guinea,10.7226226,-10.7083587
guadeloupe,16.2528827,-61.5686855
gambia,13.470062,-15.4900464
guinea-bissau,11.815215,-15.2351044
equatorial guinea,1.613172,10.5170357
greece,38.9953683,21.9877132
grenada,12.1360374,-61.6904045
greenland,77.6192349,-42.8125967
guatemala,15.5855545,-90.345759
french guiana,4.0039882,-52.999998
guam,13.450125700000001,144.75755102972062
guyana,4.8417097,-58.6416891
hong kong,22.2793278,114.1628131
heard island and mcdonald islands,-53.0166353,72.955751
honduras,15.2572432,-86.0755145
croatia,45.3658443,15.6575209
haiti,19.1399952,-72.3570972
hungary,47.1817585,19.5060937
indonesia,-2.4833826,117.8902853
isle of man,54.1936805,-4.5591148
india,22.3511148,78.6677428
british indian ocean territory,-5.3497093499999995,71.86064227010121
ireland,52.865196,-7.9794599
"iran, islamic republic of",32.6475314,54.5643516
iraq,33.0955793,44.1749775
iceland,64.9841821,-18.1059013
israel,30.8124247,34.8594762
italy,42.6384261,12.674297
jamaica,18.1850507,-77.3947693
jersey,49.2214561,-2.1358386
jordan,31.1667049,36.941628
japan,36.5748441,139.2394179
kazakhstan,48.1012954,66.7780818
kenya,1.4419683,38.4313975
kyrgyzstan,41.5089324,74.724091
cambodia,12.5433216,104.8144914
kiribati,0.3448612,173.6641773
saint kitts and nevis,17.250512,-62.6725973
"korea, republic of",55.8215537,49.132971
kuwait,29.2733964,47.4979476
lao people's democratic republic,20.0171109,103.378253
lebanon,33.8750629,35.843409
liberia,5.7499721,-9.3658524
libya,26.8234472,18.1236723
saint lucia,13.8250489,-60.975036
liechtenstein,47.1416307,9.5531527
sri lanka,7.877395849999999,80.66247852355892
lesotho,-29.6039267,28.3350193
lithuania,55.3500003,23.7499997
luxembourg,49.8158683,6.1296751
latvia,56.8406494,24.7537645
macao,22.1899448,113.5380454
saint martin (french part),18.0814066,-63.0467131
morocco,31.1728205,-7.3362482
monaco,43.7323492,7.4276832
"moldova, republic of",46.6745434,29.7521996
madagascar,-18.9249604,46.4416422
maldives,3.7203503,73.2244152
mexico,23.6585116,-102.0077097
marshall islands,8.9995549,168.0002575
north macedonia,41.6171214,21.7168387
mali,16.3700359,-2.2900239
malta,35.8885993,14.4476911
myanmar,17.1750495,95.9999652
montenegro,42.9868853,19.5180992
mongolia,46.8250388,103.8499736
northern mariana islands,15.1753648,145.7379338
mozambique,-19.302233,34.9144977
mauritania,20.2540382,-9.2399263
montserrat,16.7417041,-62.1916844
martinique,14.6367927,-61.01582685063731
mauritius,-20.2759451,57.5703566
malawi,-13.2687204,33.9301963
malaysia,4.5693754,102.2656823
mayotte,-12.825543,45.148490830203045
namibia,-23.2335499,17.3231107
new caledonia,-21.3019905,165.4880773
niger,17.7356214,9.3238432
norfolk island,-29.0328038,167.9483137
nigeria,9.6000359,7.9999721
nicaragua,12.6090157,-85.2936911
niue,-19.0536414,-169.861341
netherlands,52.2434979,5.6343227
norway,61.1529386,8.7876653
nepal,28.1083929,84.0917139
nauru,-0.5252306,166.9324426
new zealand,-41.5000831,172.8344077
oman,21.0000287,57.0036901
pakistan,30.3308401,71.247499
panama,8.559559,-81.1308434
pitcairn,-25.0657719,-130.101782
peru,-6.8699697,-75.0458515
philippines,12.7503486,122.7312101
palau,5.3783537,132.9102573
papua new guinea,-5.6816069,144.2489081
poland,52.215933,19.134422
puerto rico,18.2247706,-66.4858295
"korea, democratic people's republic of",38.233686649999996,127.00873073371443
portugal,39.6621648,-8.1353519
paraguay,-23.3165935,-58.1693445
french polynesia,-17.0243749,-144.6434898
qatar,25.3336984,51.2295295
réunion,-21.130737949999997,55.536480112992315
romania,45.9852129,24.6859225
russian federation,64.6863136,97.7453061
rwanda,-1.9646631,30.0644358
saudi arabia,25.6242618,42.3528328
sudan,14.5844444,29.4917691
senegal,14.4750607,-14.4529612
singapore,1.357107,103.8194992
south georgia and the south sandwich islands,-54.8432857,-35.8090698
"saint helena, ascension and tristan da cunha",-15.9694573,-5.7129442
svalbard and jan mayen,78.51240265,16.605574070831505
solomon islands,-8.7053941,159.1070693851845
sierra leone,8.6400349,-11.8400269
el salvador,13.8000382,-88.9140683
san marino,43.9458623,12.458306
somalia,8.3676771,49.083416
saint pierre and miquelon,46.783246899999995,-56.195158907484085
serbia,44.1534121,20.55144
south sudan,7.8699431,29.6667897
sao tome and principe,0.9713095,7.02255
suriname,4.1413025,-56.0771187
slovakia,48.7411522,19.4528646
slovenia,46.1199444,14.8153333
sweden,59.6749712,14.5208584
eswatini,-26.5624806,31.3991317
seychelles,-4.6574977,55.4540146
syrian arab republic,34.6401861,39.0494106
turks and caicos islands,21.721746,-71.5527809
chad,15.6134137,19.0156172
togo,8.7800265,1.0199765
thailand,14.8971921,100.83273
tajikistan,38.6281733,70.8156541
tokelau,-9.1676396,-171.819687
turkmenistan,39.3763807,59.3924609
timor-leste,-8.7443169,126.063482
tonga,-19.9160819,-175.202642
trinidad and tobago,10.7466905,-61.0840075
tunisia,33.8439408,9.400138
turkey,38.9597594,34.9249653
tuvalu,-8.6405212,179.1582918181797
"tanzania, united republic of",-6.5247123,35.7878438
uganda,1.5333554,32.2166578
ukraine,49.4871968,31.2718321
united states minor outlying islands,16.7288207,-169.5333824
uruguay,-32.8755548,-56.0201525
united states,39.7837304,-100.445882
uzbekistan,41.32373,63.9528098
saint vincent and the grenadines,12.90447,-61.2765569
"venezuela, bolivarian republic of",8.0018709,-66.1109318
"virgin islands, u.s.",17.7289564,-64.75901597858353
viet nam,15.9266657,107.9650855
vanuatu,-16.5255069,168.1069154
wallis and futuna,-13.289402,-176.204224
samoa,-13.7693895,-172.12005
yemen,16.3471243,47.8915271
south africa,-28.8166236,24.991639
zambia,-14.5189121,27.5589884
zimbabwe,-18.4554963,29.7468414
